팀,이름,생일,일자,상대,결과,타순,P,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
두산,페르난데스,1988-04-27,03-23,한화,W 5:4,6,DH,1,4,0,2,1,0,0,3,3,0,0,0,0,0,0,1,0,0,0.5,0.5,0.75,1.25,19,1.98,1.65,0.429
두산,페르난데스,1988-04-27,03-24,한화,L 1:11,6,DH,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.5,0.833,4,0.77,-0.36,-0.038
두산,페르난데스,1988-04-27,03-26,키움,W 7:2,2,DH,1,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.25,0.4,0.375,0.775,16,1.56,0.98,0.146
두산,페르난데스,1988-04-27,03-27,키움,W 3:2,2,DH,1,4,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.417,0.5,0.5,1.0,11,1.53,1.29,0.189
두산,페르난데스,1988-04-27,03-28,키움,L 4:5,2,DH,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.333,0.474,0.4,0.8740000000000001,23,2.04,-0.3,-0.166
두산,페르난데스,1988-04-27,03-29,@삼성,W 3:2,2,DH,1,4,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.368,0.5,0.421,0.921,21,1.41,0.8,0.204
두산,페르난데스,1988-04-27,03-30,@삼성,W 4:2,2,DH,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.391,0.5,0.435,0.935,11,1.4,0.24,0.107
두산,페르난데스,1988-04-27,03-31,@삼성,W 9:4,2,DH,1,5,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.393,0.485,0.429,0.913,21,0.89,0.04,0.058
두산,페르난데스,1988-04-27,04-02,KT,W 9:0,2,DH,1,4,1,2,2,0,0,4,3,0,0,0,0,0,1,0,0,1,0.406,0.474,0.5,0.974,14,0.42,1.1,0.112
두산,페르난데스,1988-04-27,04-03,KT,W 5:1,2,DH,1,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.389,0.452,0.5,0.952,17,0.73,0.37,0.012
두산,페르난데스,1988-04-27,04-04,KT,W 5:4,2,DH,1,4,1,3,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0.425,0.478,0.6,1.078,15,0.7,2.02,0.168
두산,페르난데스,1988-04-27,04-05,NC,L 3:7,2,DH,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.395,0.449,0.5579999999999999,1.007,9,0.73,-1.27,-0.095
두산,페르난데스,1988-04-27,04-06,NC,L 5:6,2,DH,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.396,0.444,0.542,0.986,14,0.97,-0.29,-0.005
두산,페르난데스,1988-04-27,04-07,NC,L 3:5,2,1B,1,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.404,0.448,0.596,1.044,12,1.02,1.47,0.228
두산,페르난데스,1988-04-27,04-10,@롯데,W 3:1,5,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.382,0.435,0.564,0.999,16,0.86,-0.78,-0.056
두산,페르난데스,1988-04-27,04-11,@롯데,W 5:1,5,1B,1,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.373,0.424,0.5589999999999999,0.984,16,0.73,0.14,-0.01
두산,페르난데스,1988-04-27,04-12,@LG,L 0:3,5,1B,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0.381,0.429,0.556,0.984,17,0.77,-0.67,-0.059
두산,페르난데스,1988-04-27,04-13,@LG,L 2:5,5,1B,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.358,0.413,0.522,0.936,19,0.8,-0.91,-0.078
두산,페르난데스,1988-04-27,04-14,@LG,W 8:0,2,DH,1,4,1,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0.38,0.438,0.535,0.973,16,0.73,1.14,0.077
두산,페르난데스,1988-04-27,04-16,SK,W 8:3,2,DH,1,4,1,3,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0.4,0.459,0.547,1.005,17,1.04,1.63,0.094
두산,페르난데스,1988-04-27,04-17,SK,W 12:3,2,DH,1,4,4,3,1,0,1,7,1,0,0,1,0,0,0,1,0,0,0.418,0.478,0.608,1.085,21,0.43,2.78,0.126
두산,페르난데스,1988-04-27,04-18,SK,L 3:4,2,DH,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.393,0.453,0.5710000000000001,1.024,17,1.5,-0.75,-0.036000000000000004
두산,페르난데스,1988-04-27,04-19,@KIA,W 8:6,2,DH,1,3,1,2,1,0,0,3,0,0,0,2,0,1,1,0,0,0,0.402,0.47,0.586,1.056,18,1.67,1.94,0.246
두산,페르난데스,1988-04-27,04-20,@KIA,W 10:1,2,DH,1,3,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.4,0.476,0.578,1.054,24,0.81,0.62,0.081
두산,페르난데스,1988-04-27,04-21,@KIA,W 9:2,2,DH,1,5,2,3,1,0,1,7,4,0,0,0,0,0,0,0,0,0,0.411,0.482,0.621,1.103,15,0.78,2.71,0.103
두산,페르난데스,1988-04-27,04-23,@키움,W 9:3,2,DH,1,5,2,4,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0.43,0.496,0.66,1.156,9,0.46,1.69,0.131
두산,페르난데스,1988-04-27,04-24,@키움,L 3:8,2,DH,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.417,0.487,0.6409999999999999,1.128,12,0.97,-0.45,-0.019
두산,페르난데스,1988-04-27,04-25,@키움,L 6:9,2,DH,1,5,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0.407,0.476,0.63,1.105,11,1.0,-0.21,-0.081
두산,페르난데스,1988-04-27,04-26,롯데,W 11:8,2,DH,1,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.398,0.465,0.611,1.0759999999999998,15,0.44,1.74,0.049
두산,페르난데스,1988-04-27,04-27,롯데,W 7:0,2,1B,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.397,0.466,0.603,1.07,16,1.09,0.26,-0.006
두산,페르난데스,1988-04-27,04-28,롯데,W 9:2,2,DH,1,5,2,2,0,0,2,8,5,0,0,0,0,0,0,0,0,0,0.397,0.464,0.645,1.108,17,0.53,2.52,0.098
두산,페르난데스,1988-04-27,04-30,@한화,L 1:2,2,DH,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.392,0.458,0.632,1.09,7,0.97,-0.27,-0.064
두산,페르난데스,1988-04-27,05-01,@한화,L 1:4,2,DH,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.386,0.463,0.622,1.085,19,1.01,0.2,0.04
두산,페르난데스,1988-04-27,05-02,@한화,W 5:4,3,DH,1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.374,0.454,0.603,1.057,17,1.36,-1.28,-0.116
두산,페르난데스,1988-04-27,05-03,LG,W 7:2,2,DH,1,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.375,0.452,0.596,1.048,21,0.31,-0.01,-0.023
두산,페르난데스,1988-04-27,05-04,LG,W 3:2,2,DH,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.364,0.441,0.579,1.02,15,1.16,-1.33,-0.125
두산,페르난데스,1988-04-27,05-05,LG,W 11:2,2,DH,1,5,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.3720000000000001,0.446,0.586,1.032,18,0.42,0.87,-0.023
